County,county_type
06003,1
06015,1
06023,1
06027,1
01079,1
01129,1
08067,1
08083,1
04009,1
04001,1
04007,1
04005,1
04012,1
04017,1
04021,1
30005,1
30003,1
30015,1
30035,1
30041,1
30047,1
35006,1
35035,1
35031,1
35039,1
35043,1
35045,1
35053,1
35055,1
36033,1
37075,1
37093,1
37099,1
38005,1
38025,1
38053,1
19171,1
37155,1
37165,1
37173,1
37185,1
20013,1
38055,1
38061,1
38071,1
38079,1
38085,1
20085,1
40061,1
40063,1
40067,1
40069,1
40071,1
40087,1
40085,1
40077,1
40079,1
40081,1
40089,1
40091,1
40095,1
40097,1
40099,1
40101,1
49037,1
40103,1
40121,1
40105,1
40107,1
40111,1
40113,1
40115,1
40117,1
40137,1
40123,1
40125,1
40127,1
40129,1
40131,1
40133,1
40135,1
40143,1
40145,1
40147,1
41031,1
49047,1
51036,1
40011,1
40001,1
40005,1
40013,1
40015,1
40023,1
40029,1
40031,1
40021,1
40019,1
40033,1
40035,1
40037,1
40039,1
40041,1
40043,1
40049,1
40051,1
40075,1
55053,1
26153,1
27007,1
27005,1
27017,1
27021,1
27029,1
27031,1
55078,1
55113,1
55115,1
55125,1
56013,1
27095,1
22085,1
22109,1
27087,1
30073,1
30071,1
30085,1
30087,1
30105,1
31031,1
53009,1
53019,1
16009,1
16011,1
46007,1
46015,1
46009,1
46017,1
46023,1
46031,1
28099,1
28079,1
28101,1
31107,1
46037,1
46041,1
46065,1
46047,1
46053,1
46069,1
46071,1
46085,1
53047,1
53065,1
16069,1
26013,1
26033,1
26095,1
26097,1
46091,1
46095,1
46101,1
46103,1
46117,1
46109,1
46113,1
46137,1
46121,1
46123,1
46129,1
31173,1
31161,1
32007,1
32021,1
55007,1
55003,1
55041,1
16061,1
40065,1
40073,1
40027,1
40057,1
49051,1
41065,1
53077,1
40055,1
40141,1
30089,1
40045,1
40017,1
40009,1
35061,1
26073,1
35001,1
56017,1
40149,1
08007,1
40109,1
04019,1
49013,1
